Duration,AvgDuration,PBS,AvgPBS,TBS,PBR,AvgPBR,TBR,Missed_Bytes,Packets_Sent,Packets_Received,SRPR,class,Transport_Protocol_1,Transport_Protocol_2
0.07,0.2640539,41,35.32282745,69,295,243.6849378,323,0,1,1,1.0,0,False,True
0.38,0.2640539,45,35.32282745,73,170,243.6849378,198,0,1,1,1.0,0,False,True
0.0,1.444,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.21,6.980769231,25,36.53846154,53,2,2.153846154,30,0,1,1,1.0,0,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.01,0.218568665,56,48.01844964,84,772,234.3900461,800,0,1,1,1.0,1,False,True
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
32.65,8.412307692,75,40.38461538,159,2,2.461538462,30,0,3,1,0.333333333,0,False,True
0.02,48.82570156,0,16651.72383,80,0,7709.298441,40,0,2,1,0.5,1,True,False
0.0,2.03635274,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.16,0.16,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
2.98,2.98,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.05,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.0,0.012398725,61,38.84084292,0,106,141.052849,0,0,0,0,0.0,1,False,True
0.0,1.993333333,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
11.2,11.2,50,50.0,106,0,0.0,0,0,2,0,0.0,0,False,True
0.0,1.93375,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.0,0.588,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.25,0.25,52,52.0,108,26,26.0,54,0,2,1,0.5,1,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.81,0.218568665,49,48.01844964,77,253,234.3900461,281,0,1,1,1.0,1,False,True
0.11,0.220902613,78,76.68171021,326,1515,2938.308789,1763,0,6,6,1.0,1,True,False
0.06,0.2640539,33,35.32282745,61,165,243.6849378,193,0,1,1,1.0,0,False,True
0.1,0.725262759,34,86.91753748,62,50,189.2577616,78,0,1,1,1.0,0,False,True
3.01,2.685888689,0,14.15918612,96,0,0.0,0,0,2,0,0.0,1,True,False
3.0,1.628115942,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
55.21,37.87619048,150,105.5714286,318,8,73.52380952,120,0,6,4,0.666666667,0,False,True
2.9,1.496907994,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
3.0,1.5,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.43,0.446086957,67,67.08695652,275,197,210.2463768,405,0,5,5,1.0,0,True,False
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.88,8.015,0,26.0,80,0,55117.5,80,0,2,2,1.0,1,True,False
0.0,0.012398725,38,38.84084292,66,89,141.052849,0,0,1,0,0.0,1,False,True
0.03,0.218568665,43,48.01844964,71,178,234.3900461,206,0,1,1,1.0,1,False,True
26.01,5.993250518,157,189.4513458,445,855,8629.656315,2206,0,7,12,1.714285714,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.01,0.218568665,53,48.01844964,81,176,234.3900461,204,0,1,1,1.0,1,False,True
3.0,1.735904059,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.72,12.10527778,43,27.01388889,123,0,64416.01389,80,0,2,2,1.0,0,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.56,0.2640539,45,35.32282745,73,111,243.6849378,139,0,1,1,1.0,0,False,True
0.47,7.02,0,45.27272727,80,0,84561.45455,40,0,2,1,0.5,0,True,False
0.1,0.2640539,29,35.32282745,57,498,243.6849378,526,0,1,1,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
2.94,1.268,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.0,1.44,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
55.75,36.31785714,175,118.3571429,371,338,175.2142857,534,0,7,7,1.0,0,False,True
0.0,0.839704755,58,106.0653595,114,271,392.7018256,299,0,2,1,0.5,1,False,True
49.17,28.385,100,98.3,212,0,76.9,0,0,4,0,0.0,0,False,True
0.32,6.473056653,38,214.5072464,66,484,6596.981555,540,0,1,2,2.0,1,False,True
14.35,11.83416667,50,44.75,106,0,13.66666667,0,0,2,0,0.0,0,False,True
13.06,5.888571429,50,42.85714286,106,4,102.2857143,60,0,2,2,1.0,0,False,True
15.94,11.546,50,45.0,106,2,2.6,30,0,2,1,0.5,0,False,True
0.17,0.725262759,33,86.91753748,61,49,189.2577616,77,0,1,1,1.0,0,False,True
0.0,0.0,0,0.0,40,0,0.0,40,0,1,1,1.0,0,True,False
0.77,4.74043956,0,95.53846154,88,0,6509.615385,48,0,2,1,0.5,0,True,False
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.07,5.206059655,44,2138.502355,72,532,8946.871272,588,0,1,2,2.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.45,0.45,22,22.0,54,22,22.0,50,0,1,1,1.0,0,False,True
0.0,1.63525,54,491.95,110,76,777.7,104,0,2,1,0.5,1,False,True
2.82,2.13915212,0,137.5860349,80,0,10966.61097,0,0,2,0,0.0,1,True,False
0.01,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
54.92,36.725,150,109.875,318,10,37.125,150,0,6,5,0.833333333,0,False,True
0.1,0.102,52,52.0,108,0,0.0,0,0,2,0,0.0,0,False,True
0.27,0.725262759,31,86.91753748,59,76,189.2577616,104,0,1,1,1.0,0,False,True
8.19,8.066666667,25,37.5,53,2,1.666666667,30,0,1,1,1.0,0,False,True
5.47,5.24,565,448.0,733,782,917.0,1768,0,4,5,1.25,1,True,False
3.0,1.495789474,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.04,0.218568665,53,48.01844964,81,178,234.3900461,206,0,1,1,1.0,0,False,True
0.94,3.495,59,53.5,267,275,3875.166667,483,0,5,5,1.0,1,True,False
21.7,25.94416667,75,85.41666667,159,6,39.08333333,90,0,3,3,1.0,0,False,True
0.16,0.2640539,33,35.32282745,61,259,243.6849378,287,0,1,1,1.0,0,False,True
0.47,0.496534653,63,63.71287129,271,516,516.3663366,724,0,5,5,1.0,1,True,False
0.0,1.5,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.7,2.249166667,103,79.16666667,183,1365,1614.416667,1405,0,2,1,0.5,0,True,False
3.0,1.47622449,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.02,0.012398725,27,38.84084292,55,468,141.052849,0,0,1,0,0.0,1,False,True
4.27,14.37256959,0,281.7012848,160,0,10392.83084,0,0,4,0,0.0,0,True,False
0.0,0.31244186,0,0.0,60,0,0.0,80,0,1,2,2.0,1,True,False
3.44,6.309191919,149,144.6136364,357,495,4742.222222,623,0,5,3,0.6,1,True,False
0.31,8.759285714,25,39.28571429,53,2,2.571428571,30,0,1,1,1.0,0,False,True
0.04,0.218568665,41,48.01844964,69,447,234.3900461,475,0,1,1,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
3.0,1.5,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
2.95,1.983333333,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
0.01,0.218568665,45,48.01844964,73,178,234.3900461,206,0,1,1,1.0,1,False,True
0.11,0.725262759,23,86.91753748,51,79,189.2577616,107,0,1,1,1.0,0,False,True
189.12,5.128403869,146,32.81559855,1412,0,0.0,192,0,13,4,0.307692308,1,True,False
3.01,2.685888689,0,14.15918612,96,0,0.0,0,0,2,0,0.0,1,True,False
3.0,1.5,0,0.0,192,0,0.0,0,0,4,0,0.0,1,True,False
180.97,180.97,2930,2930.0,4542,1172,1172.0,1452,0,11,7,0.636363636,1,True,False
11.07,21.65285714,50,91.85714286,106,0,12.35714286,0,0,2,0,0.0,0,False,True
0.0,0.968533937,0,57.59728507,80,1250,1128.150226,1410,0,2,4,2.0,1,True,False
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
33.93,26.39888889,106,90.77777778,302,81,210.8888889,249,0,7,6,0.857142857,0,False,True
3.01,2.03635274,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
55.74,35.36137931,150,114.2068966,318,12,57.5862069,180,0,6,6,1.0,0,False,True
23.41,32.01777778,75,98.07407407,159,6,77.40740741,90,0,3,3,1.0,0,False,True
0.49,6.385822222,36,334.3392593,64,306,11277.13185,362,0,1,2,2.0,1,False,True
0.0,2.026853933,0,0.0,96,0,0.0,0,0,2,0,0.0,1,True,False
0.12,0.2640539,24,35.32282745,52,298,243.6849378,326,0,1,1,1.0,0,False,True
0.15,0.159373278,0,0.0,96,0,0.0,40,0,2,1,0.5,1,True,False
0.0,0.380253623,0,0.0,60,0,0.0,80,0,1,2,2.0,1,True,False
0.0,0.012398725,29,38.84084292,57,227,141.052849,0,0,1,0,0.0,1,False,True
9.89,9.89,420,420.0,628,763,763.0,1690,0,5,4,0.8,1,True,False
0.09,0.218568665,44,48.01844964,72,121,234.3900461,149,0,1,1,1.0,1,False,True
0.1,0.725262759,29,86.91753748,57,109,189.2577616,137,0,1,1,1.0,0,False,True
0.21,3.07276,109,78.344,357,1434,5332.72,1682,0,6,6,1.0,1,True,False
0.15,2.790571809,0,0.0,48,0,0.0,40,0,1,1,1.0,1,True,False
0.27,0.012398725,33,38.84084292,61,206,141.052849,0,0,1,0,0.0,1,False,True
30.28,29.7625,31,67.0,143,52,73.75,136,0,4,3,0.75,0,False,True
0.08,0.2640539,25,35.32282745,53,483,243.6849378,511,0,1,1,1.0,0,False,True
0.0,0.012398725,29,38.84084292,57,101,141.052849,0,0,1,0,0.0,1,False,True
22.48,35.4265625,79,101.75,219,56,61.28125,196,0,5,5,1.0,0,False,True
4.19,2.295,0,0.0,192,0,0.0,80,0,4,2,0.5,1,True,False
0.01,0.218568665,60,48.01844964,88,572,234.3900461,600,0,1,1,1.0,1,False,True
33.29,24.89222222,100,86.22222222,212,8,40.77777778,120,0,4,4,1.0,0,False,True
0.0,0.012398725,55,38.84084292,0,100,141.052849,0,0,0,0,0.0,1,False,True
0.02,0.218568665,41,48.01844964,69,447,234.3900461,475,0,1,1,1.0,0,False,True
0.49,0.218568665,47,48.01844964,75,108,234.3900461,136,0,1,1,1.0,1,False,True
